Event Date,Weekday,Hour,Month,Day,Moon Phase,Full Moon,Temperature_MAX,Temperature_MIN,Precipitation,temperature
2024-10-10 08:33:00,Thursday,8,October,10,0.2545358231289408,0,57.3,44.2,0.1,50.75
2024-10-10 08:33:00,Thursday,8,October,10,0.2545358231289408,0,57.3,44.2,0.1,50.75
2024-10-10 08:34:00,Thursday,8,October,10,0.25455916695120484,0,57.3,44.2,0.1,50.75
2024-10-10 08:34:00,Thursday,8,October,10,0.25455916695120484,0,57.3,44.2,0.1,50.75
2024-10-10 08:35:00,Thursday,8,October,10,0.2545825107901849,0,57.3,44.2,0.1,50.75
2024-10-10 08:36:00,Thursday,8,October,10,0.25460585461267143,0,57.3,44.2,0.1,50.75
2024-10-10 08:44:00,Thursday,8,October,10,0.25479260522727376,0,57.3,44.2,0.1,50.75
2024-10-10 08:44:00,Thursday,8,October,10,0.25479260522727376,0,57.3,44.2,0.1,50.75
2024-10-10 08:45:00,Thursday,8,October,10,0.25481594905647975,0,57.3,44.2,0.1,50.75
2024-10-10 08:46:00,Thursday,8,October,10,0.25483929288519586,0,57.3,44.2,0.1,50.75
2024-10-10 08:47:00,Thursday,8,October,10,0.25486263671562137,0,57.3,44.2,0.1,50.75
2024-10-10 08:49:00,Thursday,8,October,10,0.25490932437071456,0,57.3,44.2,0.1,50.75
2024-10-10 08:49:00,Thursday,8,October,10,0.25490932437071456,0,57.3,44.2,0.1,50.75
2024-10-10 08:51:00,Thursday,8,October,10,0.2549560120213725,0,57.3,44.2,0.1,50.75
2024-10-10 08:51:00,Thursday,8,October,10,0.2549560120213725,0,57.3,44.2,0.1,50.75
2024-10-10 08:52:00,Thursday,8,October,10,0.2549793558505692,0,57.3,44.2,0.1,50.75
2024-10-10 08:53:00,Thursday,8,October,10,0.2550026996720443,0,57.3,44.2,0.1,50.75
2024-10-10 08:54:00,Thursday,8,October,10,0.2550260434990922,0,57.3,44.2,0.1,50.75
2024-10-10 08:54:00,Thursday,8,October,10,0.2550260434990922,0,57.3,44.2,0.1,50.75
2024-10-10 08:55:00,Thursday,8,October,10,0.2550493873308889,0,57.3,44.2,0.1,50.75
2024-10-11 10:16:00,Friday,10,October,11,0.29055534863844695,0,65.8,42.6,0.0,54.2
2024-10-11 10:21:00,Friday,10,October,11,0.29067206777849125,0,65.8,42.6,0.0,54.2
2024-10-11 10:24:00,Friday,10,October,11,0.2907420992551215,0,65.8,42.6,0.0,54.2
2024-10-11 10:28:00,Friday,10,October,11,0.29083547456018843,0,65.8,42.6,0.0,54.2
2024-10-11 10:31:00,Friday,10,October,11,0.29090550604478704,0,65.8,42.6,0.0,54.2
2024-10-11 10:34:00,Friday,10,October,11,0.29097553753344896,0,65.8,42.6,0.0,54.2
2024-10-11 10:37:00,Friday,10,October,11,0.2910455690125512,0,65.8,42.6,0.0,54.2
2024-10-11 10:39:00,Friday,10,October,11,0.291092256662782,0,65.8,42.6,0.0,54.2
2024-10-11 10:41:00,Friday,10,October,11,0.29113894432368537,0,65.8,42.6,0.0,54.2
2024-10-11 10:44:00,Friday,10,October,11,0.2912089757991756,0,65.8,42.6,0.0,54.2
2024-10-11 10:46:00,Friday,10,October,11,0.29125566345407583,0,65.8,42.6,0.0,54.2
2024-10-11 16:13:00,Friday,16,October,11,0.2988890949718897,0,65.8,42.6,0.0,54.2
2024-10-11 16:15:00,Friday,16,October,11,0.2989357826282023,0,65.8,42.6,0.0,54.2
2024-10-11 16:18:00,Friday,16,October,11,0.299005814121068,0,65.8,42.6,0.0,54.2
2024-10-11 16:20:00,Friday,16,October,11,0.29905250177261994,0,65.8,42.6,0.0,54.2
2024-10-11 16:21:00,Friday,16,October,11,0.29907584560048517,0,65.8,42.6,0.0,54.2
2024-10-11 16:23:00,Friday,16,October,11,0.2991225332496963,0,65.8,42.6,0.0,54.2
2024-10-11 16:24:00,Friday,16,October,11,0.2991458770787876,0,65.8,42.6,0.0,54.2
2024-10-11 16:26:00,Friday,16,October,11,0.2991925647332497,0,65.8,42.6,0.0,54.2
